genre,pub_year,genre,pub_year,mean_score,count
experimental,2002,folk/country,2011,7.202702702702703,37
experimental,2002,folk/country,2012,7.590476190476191,21
experimental,2002,folk/country,2013,7.020833333333335,24
experimental,2002,folk/country,2014,7.625,28
experimental,2002,folk/country,2015,7.330952380952381,42
experimental,2002,folk/country,2016,7.436734693877553,49
experimental,2002,global,1999,9.0,1
experimental,2002,global,2000,7.166666666666667,3
experimental,2002,global,2001,7.05,2
experimental,2002,global,2002,7.066666666666666,3
experimental,2002,global,2003,7.633333333333333,6
experimental,2002,global,2004,8.128571428571428,7
experimental,2002,global,2005,7.9875,8
experimental,2002,global,2006,7.18,10
experimental,2002,global,2007,7.3611111111111125,18
experimental,2002,global,2008,6.933333333333333,9
experimental,2002,global,2009,7.47142857142857,14
experimental,2002,global,2010,6.8076923076923075,13
experimental,2002,global,2011,7.433333333333333,6
experimental,2002,global,2012,7.399999999999999,7
experimental,2002,global,2013,7.800000000000001,6
experimental,2002,global,2014,7.7,7
experimental,2002,global,2015,7.383333333333334,6
experimental,2002,global,2016,7.583333333333335,18
experimental,2002,jazz,1999,7.325000000000001,4
experimental,2002,jazz,2000,7.016666666666667,12
experimental,2002,jazz,2001,7.536363636363637,11
experimental,2002,jazz,2002,7.4239999999999995,25
experimental,2002,jazz,2003,7.425000000000002,28
experimental,2002,jazz,2004,7.3034482758620705,29
experimental,2002,jazz,2005,7.658823529411764,17
experimental,2002,jazz,2006,7.478571428571428,14
experimental,2002,jazz,2007,7.500000000000001,17
experimental,2002,jazz,2008,6.805882352941175,17
experimental,2002,jazz,2009,7.315384615384614,13
experimental,2002,jazz,2010,7.554545454545454,11
experimental,2002,jazz,2011,6.85,10
experimental,2002,jazz,2012,7.387499999999999,8
experimental,2002,jazz,2013,7.885714285714286,7
experimental,2002,jazz,2014,8.033333333333333,6
experimental,2002,jazz,2015,7.946153846153846,13
experimental,2002,jazz,2016,7.84848484848485,33
experimental,2002,metal,1999,6.933333333333334,6
experimental,2002,metal,2000,6.027272727272727,11
experimental,2002,metal,2001,5.883333333333334,12
experimental,2002,metal,2002,6.458064516129034,31
experimental,2002,metal,2003,6.203448275862068,29
experimental,2002,metal,2004,6.837500000000001,24
experimental,2002,metal,2005,6.851999999999999,25
experimental,2002,metal,2006,7.126470588235294,34
experimental,2002,metal,2007,7.076666666666667,30
experimental,2002,metal,2008,7.06,45
experimental,2002,metal,2009,7.145454545454544,33
experimental,2002,metal,2010,7.047727272727271,44
experimental,2002,metal,2011,7.034375,32
experimental,2002,metal,2012,7.313043478260868,46
experimental,2002,metal,2013,7.340425531914895,47
experimental,2002,metal,2014,7.1175,40
experimental,2002,metal,2015,7.472413793103449,58
experimental,2002,metal,2016,7.397872340425532,47
experimental,2002,metal,2017,7.9,1
experimental,2002,pop/r&b,1999,6.616666666666667,6
experimental,2002,pop/r&b,2000,6.364705882352941,17
experimental,2002,pop/r&b,2001,6.930769230769231,13
experimental,2002,pop/r&b,2002,6.175757575757576,33
experimental,2002,pop/r&b,2003,6.620588235294119,34
experimental,2002,pop/r&b,2004,6.5982758620689665,58
experimental,2002,pop/r&b,2005,7.04181818181818,55
experimental,2002,pop/r&b,2006,6.842647058823529,68
experimental,2002,pop/r&b,2007,6.619999999999999,65
experimental,2002,pop/r&b,2008,6.9253164556962075,79
experimental,2002,pop/r&b,2009,6.938271604938274,81
experimental,2002,pop/r&b,2010,7.078947368421054,76
experimental,2002,pop/r&b,2011,6.938202247191011,89
experimental,2002,pop/r&b,2012,6.866666666666666,72
experimental,2002,pop/r&b,2013,7.007594936708864,79
experimental,2002,pop/r&b,2014,6.765714285714288,70
experimental,2002,pop/r&b,2015,7.037254901960782,102
experimental,2002,pop/r&b,2016,7.2778625954198475,131
experimental,2002,rap,1999,8.333333333333334,3
experimental,2002,rap,2000,6.777777777777778,9
experimental,2002,rap,2001,7.7,10
experimental,2002,rap,2002,7.311627906976745,43
experimental,2002,rap,2003,7.095454545454548,66
experimental,2002,rap,2004,7.217808219178082,73
experimental,2002,rap,2005,7.134999999999998,80
experimental,2002,rap,2006,6.701639344262296,61
experimental,2002,rap,2007,6.770769230769231,65
experimental,2002,rap,2008,6.507042253521129,71
experimental,2002,rap,2009,6.610256410256411,78
experimental,2002,rap,2010,6.812048192771085,83
experimental,2002,rap,2011,6.834000000000002,100
experimental,2002,rap,2012,6.854814814814816,135
experimental,2002,rap,2013,6.947368421052634,95
experimental,2002,rap,2014,7.119148936170211,94
experimental,2002,rap,2015,6.959493670886072,158
experimental,2002,rap,2016,6.9679347826087,184
experimental,2002,rap,2017,6.38,5
experimental,2002,rock,1999,6.755045871559632,109
experimental,2002,rock,2000,6.7697916666666655,192
experimental,2002,rock,2001,7.221900826446277,242
experimental,2002,rock,2002,6.680528846153846,416
experimental,2002,rock,2003,6.893482688391045,491
experimental,2002,rock,2004,7.197537878787881,528
experimental,2002,rock,2005,6.9508591065292205,582
experimental,2002,rock,2006,6.945391304347829,575
experimental,2002,rock,2007,6.79229480737019,597
experimental,2002,rock,2008,6.84982876712329,584
experimental,2002,rock,2009,6.773381294964029,556
experimental,2002,rock,2010,6.924180327868848,488
experimental,2002,rock,2011,7.080041152263378,486
experimental,2002,rock,2012,7.010361445783133,415
experimental,2002,rock,2013,7.092708333333342,384
experimental,2002,rock,2014,7.047633136094675,338
experimental,2002,rock,2015,6.970669745958429,433
experimental,2002,rock,2016,7.287153652392952,397
experimental,2002,rock,2017,8.15,2
experimental,2003,,1999,7.24,15
experimental,2003,,2000,6.575862068965517,29
experimental,2003,,2001,6.778431372549019,51
experimental,2003,,2002,6.767532467532462,154
experimental,2003,,2003,6.908196721311474,122
experimental,2003,,2004,7.305645161290324,124
experimental,2003,,2005,7.222900763358777,131
experimental,2003,,2006,6.993181818181817,132
experimental,2003,,2007,7.048993288590604,149
experimental,2003,,2008,6.974045801526716,131
experimental,2003,,2009,6.946601941747573,103
experimental,2003,,2010,7.093859649122808,114
experimental,2003,,2011,7.204040404040402,99
experimental,2003,,2012,6.940990990990988,222
experimental,2003,,2013,6.935668789808921,314
experimental,2003,,2014,7.072980501392765,359
experimental,2003,,2015,7.213953488372093,43
experimental,2003,,2016,7.150704225352112,71
experimental,2003,,2017,7.0,2
experimental,2003,electronic,1999,6.841818181818183,55
experimental,2003,electronic,2000,7.239655172413792,58
experimental,2003,electronic,2001,6.898611111111112,72
experimental,2003,electronic,2002,7.037323943661971,142
experimental,2003,electronic,2003,6.852486187845304,181
experimental,2003,electronic,2004,7.052866242038216,157
experimental,2003,electronic,2005,7.033333333333334,177
experimental,2003,electronic,2006,6.914024390243903,164
experimental,2003,electronic,2007,6.858273381294962,139
experimental,2003,electronic,2008,6.824999999999998,148
experimental,2003,electronic,2009,6.638333333333336,180
experimental,2003,electronic,2010,6.876651982378855,227
experimental,2003,electronic,2011,6.900000000000006,237
experimental,2003,electronic,2012,6.98051282051282,195
experimental,2003,electronic,2013,7.0466666666666695,180
experimental,2003,electronic,2014,6.989610389610392,154
experimental,2003,electronic,2015,7.152500000000003,200
experimental,2003,electronic,2016,7.115652173913044,230
experimental,2003,electronic,2017,8.0,4
experimental,2003,experimental,1999,6.638888888888889,18
experimental,2003,experimental,2000,6.230769230769231,13
experimental,2003,experimental,2001,7.6466666666666665,30
experimental,2003,experimental,2002,7.376,50
experimental,2003,experimental,2003,7.474285714285715,70
experimental,2003,experimental,2004,7.620253164556962,79
experimental,2003,experimental,2005,7.146478873239437,71
experimental,2003,experimental,2006,7.205194805194805,77
experimental,2003,experimental,2007,7.204054054054055,74
experimental,2003,experimental,2008,7.284057971014492,69
experimental,2003,experimental,2009,7.080882352941177,68
experimental,2003,experimental,2010,7.333802816901407,71
experimental,2003,experimental,2011,7.297101449275365,69
experimental,2003,experimental,2012,7.365624999999999,64
experimental,2003,experimental,2013,7.2078125,64
experimental,2003,experimental,2014,7.401515151515151,66
experimental,2003,experimental,2015,7.5074999999999985,80
experimental,2003,experimental,2016,7.484761904761904,105
experimental,2003,experimental,2017,7.7,3
experimental,2003,folk/country,1999,7.766666666666666,6
experimental,2003,folk/country,2000,7.75,4
experimental,2003,folk/country,2001,7.561538461538461,13
experimental,2003,folk/country,2002,7.007692307692308,26
experimental,2003,folk/country,2003,7.245454545454546,33
experimental,2003,folk/country,2004,7.342857142857145,42
experimental,2003,folk/country,2005,7.227499999999999,40
experimental,2003,folk/country,2006,7.412000000000001,50
experimental,2003,folk/country,2007,7.053225806451613,62
experimental,2003,folk/country,2008,6.908333333333331,48
experimental,2003,folk/country,2009,7.022222222222221,45
experimental,2003,folk/country,2010,7.058139534883721,43
experimental,2003,folk/country,2011,7.202702702702703,37
experimental,2003,folk/country,2012,7.590476190476191,21
experimental,2003,folk/country,2013,7.020833333333335,24
experimental,2003,folk/country,2014,7.625,28
experimental,2003,folk/country,2015,7.330952380952381,42
experimental,2003,folk/country,2016,7.436734693877553,49
experimental,2003,global,1999,9.0,1
experimental,2003,global,2000,7.166666666666667,3
experimental,2003,global,2001,7.05,2
experimental,2003,global,2002,7.066666666666666,3
experimental,2003,global,2003,7.633333333333333,6
experimental,2003,global,2004,8.128571428571428,7
experimental,2003,global,2005,7.9875,8
experimental,2003,global,2006,7.18,10
experimental,2003,global,2007,7.3611111111111125,18
experimental,2003,global,2008,6.933333333333333,9
experimental,2003,global,2009,7.47142857142857,14
experimental,2003,global,2010,6.8076923076923075,13
experimental,2003,global,2011,7.433333333333333,6
experimental,2003,global,2012,7.399999999999999,7
experimental,2003,global,2013,7.800000000000001,6
experimental,2003,global,2014,7.7,7
experimental,2003,global,2015,7.383333333333334,6
experimental,2003,global,2016,7.583333333333335,18
experimental,2003,jazz,1999,7.325000000000001,4
experimental,2003,jazz,2000,7.016666666666667,12
experimental,2003,jazz,2001,7.536363636363637,11
experimental,2003,jazz,2002,7.4239999999999995,25
experimental,2003,jazz,2003,7.425000000000002,28
experimental,2003,jazz,2004,7.3034482758620705,29
experimental,2003,jazz,2005,7.658823529411764,17
experimental,2003,jazz,2006,7.478571428571428,14
experimental,2003,jazz,2007,7.500000000000001,17
experimental,2003,jazz,2008,6.805882352941175,17
experimental,2003,jazz,2009,7.315384615384614,13
experimental,2003,jazz,2010,7.554545454545454,11
experimental,2003,jazz,2011,6.85,10
experimental,2003,jazz,2012,7.387499999999999,8
experimental,2003,jazz,2013,7.885714285714286,7
experimental,2003,jazz,2014,8.033333333333333,6
experimental,2003,jazz,2015,7.946153846153846,13
experimental,2003,jazz,2016,7.84848484848485,33
experimental,2003,metal,1999,6.933333333333334,6
experimental,2003,metal,2000,6.027272727272727,11
experimental,2003,metal,2001,5.883333333333334,12
experimental,2003,metal,2002,6.458064516129034,31
experimental,2003,metal,2003,6.203448275862068,29
experimental,2003,metal,2004,6.837500000000001,24
experimental,2003,metal,2005,6.851999999999999,25
experimental,2003,metal,2006,7.126470588235294,34
experimental,2003,metal,2007,7.076666666666667,30
experimental,2003,metal,2008,7.06,45
experimental,2003,metal,2009,7.145454545454544,33
experimental,2003,metal,2010,7.047727272727271,44
experimental,2003,metal,2011,7.034375,32
experimental,2003,metal,2012,7.313043478260868,46
experimental,2003,metal,2013,7.340425531914895,47
experimental,2003,metal,2014,7.1175,40
experimental,2003,metal,2015,7.472413793103449,58
experimental,2003,metal,2016,7.397872340425532,47
experimental,2003,metal,2017,7.9,1
experimental,2003,pop/r&b,1999,6.616666666666667,6
experimental,2003,pop/r&b,2000,6.364705882352941,17
experimental,2003,pop/r&b,2001,6.930769230769231,13
experimental,2003,pop/r&b,2002,6.175757575757576,33
experimental,2003,pop/r&b,2003,6.620588235294119,34
experimental,2003,pop/r&b,2004,6.5982758620689665,58
experimental,2003,pop/r&b,2005,7.04181818181818,55
experimental,2003,pop/r&b,2006,6.842647058823529,68
experimental,2003,pop/r&b,2007,6.619999999999999,65
experimental,2003,pop/r&b,2008,6.9253164556962075,79
experimental,2003,pop/r&b,2009,6.938271604938274,81
experimental,2003,pop/r&b,2010,7.078947368421054,76
experimental,2003,pop/r&b,2011,6.938202247191011,89
experimental,2003,pop/r&b,2012,6.866666666666666,72
experimental,2003,pop/r&b,2013,7.007594936708864,79
experimental,2003,pop/r&b,2014,6.765714285714288,70
experimental,2003,pop/r&b,2015,7.037254901960782,102
experimental,2003,pop/r&b,2016,7.2778625954198475,131
experimental,2003,rap,1999,8.333333333333334,3
experimental,2003,rap,2000,6.777777777777778,9
experimental,2003,rap,2001,7.7,10
experimental,2003,rap,2002,7.311627906976745,43
experimental,2003,rap,2003,7.095454545454548,66
experimental,2003,rap,2004,7.217808219178082,73
experimental,2003,rap,2005,7.134999999999998,80
experimental,2003,rap,2006,6.701639344262296,61
experimental,2003,rap,2007,6.770769230769231,65
experimental,2003,rap,2008,6.507042253521129,71
experimental,2003,rap,2009,6.610256410256411,78
experimental,2003,rap,2010,6.812048192771085,83
experimental,2003,rap,2011,6.834000000000002,100
experimental,2003,rap,2012,6.854814814814816,135
experimental,2003,rap,2013,6.947368421052634,95
experimental,2003,rap,2014,7.119148936170211,94
experimental,2003,rap,2015,6.959493670886072,158
experimental,2003,rap,2016,6.9679347826087,184
experimental,2003,rap,2017,6.38,5
experimental,2003,rock,1999,6.755045871559632,109
experimental,2003,rock,2000,6.7697916666666655,192
experimental,2003,rock,2001,7.221900826446277,242
experimental,2003,rock,2002,6.680528846153846,416
experimental,2003,rock,2003,6.893482688391045,491
experimental,2003,rock,2004,7.197537878787881,528
experimental,2003,rock,2005,6.9508591065292205,582
experimental,2003,rock,2006,6.945391304347829,575
experimental,2003,rock,2007,6.79229480737019,597
experimental,2003,rock,2008,6.84982876712329,584
experimental,2003,rock,2009,6.773381294964029,556
experimental,2003,rock,2010,6.924180327868848,488
experimental,2003,rock,2011,7.080041152263378,486
experimental,2003,rock,2012,7.010361445783133,415
experimental,2003,rock,2013,7.092708333333342,384
